BinCenter (ps),Histo01,Histo02,Histo03,Histo04
50,9,9,0,0
150,3,9,0,0
250,7,6,0,0
350,4,7,0,0
450,7,6,0,0
550,10,8,0,0
650,5,7,0,0
750,4,4,0,0
850,7,10,0,0
950,7,6,0,0
1050,8,6,0,0
1150,8,3,0,0
1250,7,6,0,0
1350,3,8,0,0
1450,7,9,0,0
1550,5,10,0,0
1650,3,8,0,0
1750,9,7,0,0
1850,6,11,0,0
1950,0,4,0,0
2050,10,10,0,0
2150,6,9,0,0
2250,7,10,0,0
2350,6,7,0,0
2450,4,3,0,0
2550,7,6,0,0
2650,6,5,0,0
2750,4,3,0,0
2850,9,3,0,0
2950,10,10,0,0
3050,5,8,0,0
3150,6,6,0,0
3250,11,7,0,0
3350,8,6,0,0
3450,6,5,0,0
3550,9,6,0,0
3650,8,5,0,0
3750,9,10,0,0
3850,7,5,0,0
3950,11,7,0,0
4050,7,6,0,0
4150,5,8,0,0
4250,5,9,0,0
4350,2,13,0,0
4450,22,12,0,0
4550,8,6,0,0
4650,7,5,0,0
4750,9,8,0,0
4850,11,182,0,0
4950,8,228,0,0
5050,8,13,0,0
5150,10,9,0,0
5250,15,652,0,0
5350,5,849,0,0
5450,9,20,0,0
5550,5,13,0,0
5650,7,646,0,0
5750,10,776,0,0
5850,27,17,0,0
5950,8,7,0,0
6050,14,717,0,0
6150,16,899,0,0
6250,41,9,0,0
6350,12,5,0,0
6450,17,150,0,0
6550,18,219,0,0
6650,45,7,0,0
6750,41,6,0,0
6850,38,8,0,0
6950,30,4,0,0
7050,41,6,0,0
7150,53,11,0,0
7250,27,11,0,0
7350,36,14,0,0
7450,40,7,0,0
7550,52,6,0,0
7650,44,5,0,0
7750,21,7,0,0
7850,22,5,0,0
7950,26,12,0,0
8050,18,14,0,0
8150,16,10,0,0
8250,19,10,0,0
8350,4,10,0,0
8450,10,8,0,0
8550,5,5,0,0
8650,13,3,0,0
8750,7,6,0,0
8850,4,5,0,0
8950,6,5,0,0
9050,9,14,0,0
9150,10,4,0,0
9250,5,10,0,0
9350,6,7,0,0
9450,8,8,0,0
9550,4,5,0,0
9650,5,4,0,0
9750,9,3,0,0
9850,18,6,0,0
9950,5,3,0,0
10050,5,7,0,0
10150,8,8,0,0
10250,15,9,0,0
10350,11,9,0,0
10450,9,3,0,0
10550,3,10,0,0
10650,20,6,0,0
10750,10,6,0,0
10850,3,7,0,0
10950,4,5,0,0
11050,19,9,0,0
11150,8,5,0,0
11250,9,3,0,0
11350,8,8,0,0
11450,5,2,0,0
11550,10,8,0,0
11650,6,5,0,0
11750,4,7,0,0
11850,5,11,0,0
11950,8,7,0,0
12050,4,3,0,0
12150,4,8,0,0
12250,4,5,0,0
12350,8,7,0,0
12450,7,7,0,0
12550,9,8,0,0
12650,8,7,0,0
12750,12,4,0,0
12850,10,2,0,0
12950,2,5,0,0
13050,10,6,0,0
13150,5,8,0,0
13250,6,7,0,0
13350,10,8,0,0
13450,4,14,0,0
13550,4,9,0,0
13650,7,2,0,0
13750,5,7,0,0
13850,10,7,0,0
13950,5,6,0,0
