BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;7;7;0;0
150;6;2;0;0
250;4;9;0;0
350;7;5;0;0
450;5;12;0;0
550;10;9;0;0
650;12;4;0;0
750;6;5;0;0
850;4;7;0;0
950;5;4;0;0
1050;11;6;0;0
1150;5;5;0;0
1250;8;8;0;0
1350;10;5;0;0
1450;4;6;0;0
1550;2;8;0;0
1650;6;11;0;0
1750;10;3;0;0
1850;3;9;0;0
1950;8;4;0;0
2050;7;2;0;0
2150;4;2;0;0
2250;4;10;0;0
2350;9;9;0;0
2450;9;10;0;0
2550;8;9;0;0
2650;7;5;0;0
2750;2;8;0;0
2850;9;6;0;0
2950;14;5;0;0
3050;6;8;0;0
3150;7;5;0;0
3250;7;7;0;0
3350;5;11;0;0
3450;3;4;0;0
3550;7;7;0;0
3650;2;6;0;0
3750;8;8;0;0
3850;11;8;0;0
3950;11;6;0;0
4050;12;7;0;0
4150;9;8;0;0
4250;5;6;0;0
4350;10;8;0;0
4450;14;10;0;0
4550;8;4;0;0
4650;5;7;0;0
4750;10;10;0;0
4850;16;153;0;0
4950;6;269;0;0
5050;8;15;0;0
5150;9;10;0;0
5250;9;673;0;0
5350;8;909;0;0
5450;5;23;0;0
5550;4;12;0;0
5650;9;882;0;0
5750;20;1148;0;0
5850;19;15;0;0
5950;7;10;0;0
6050;6;714;0;0
6150;17;873;0;0
6250;47;16;0;0
6350;17;9;0;0
6450;13;188;0;0
6550;31;183;0;0
6650;41;5;0;0
6750;33;6;0;0
6850;22;10;0;0
6950;31;7;0;0
7050;52;4;0;0
7150;58;5;0;0
7250;35;4;0;0
7350;35;7;0;0
7450;38;6;0;0
7550;43;6;0;0
7650;36;4;0;0
7750;33;10;0;0
7850;18;4;0;0
7950;29;5;0;0
8050;23;2;0;0
8150;11;8;0;0
8250;12;6;0;0
8350;11;13;0;0
8450;7;7;0;0
8550;2;10;0;0
8650;9;8;0;0
8750;4;6;0;0
8850;13;6;0;0
8950;11;9;0;0
9050;6;5;0;0
9150;6;6;0;0
9250;7;6;0;0
9350;2;5;0;0
9450;16;4;0;0
9550;5;5;0;0
9650;3;5;0;0
9750;9;3;0;0
9850;9;3;0;0
9950;15;6;0;0
10050;4;3;0;0
10150;3;7;0;0
10250;21;7;0;0
10350;12;9;0;0
10450;7;5;0;0
10550;9;4;0;0
10650;12;8;0;0
10750;8;6;0;0
10850;7;10;0;0
10950;7;6;0;0
11050;20;6;0;0
11150;10;13;0;0
11250;6;5;0;0
11350;10;8;0;0
11450;8;6;0;0
11550;9;5;0;0
11650;5;7;0;0
11750;8;6;0;0
11850;6;8;0;0
11950;3;3;0;0
12050;10;4;0;0
12150;6;11;0;0
12250;7;8;0;0
12350;8;9;0;0
12450;8;11;0;0
12550;9;6;0;0
12650;8;3;0;0
12750;7;6;0;0
12850;6;5;0;0
12950;7;12;0;0
13050;4;11;0;0
13150;5;11;0;0
13250;10;6;0;0
13350;12;10;0;0
13450;6;8;0;0
13550;8;5;0;0
13650;4;7;0;0
13750;10;4;0;0
13850;6;10;0;0
13950;4;10;0;0
14050;7;1;0;0
14150;8;4;0;0
14250;8;8;0;0
14350;11;6;0;0
14450;12;8;0;0
14550;15;9;0;0
14650;14;6;0;0
14750;19;4;0;0
14850;20;3;0;0
14950;30;6;0;0
15050;25;5;0;0
15150;14;7;0;0
15250;29;10;0;0
15350;35;16;0;0
15450;23;12;0;0
15550;11;8;0;0
15650;15;9;0;0
15750;26;9;0;0
15850;19;7;0;0
15950;23;9;0;0
16050;9;6;0;0
16150;10;11;0;0
16250;10;9;0;0
16350;7;9;0;0
16450;7;11;0;0
16550;5;12;0;0
16650;9;6;0;0
16750;7;5;0;0
16850;7;4;0;0
16950;10;4;0;0
17050;4;5;0;0
17150;6;28;0;0
17250;8;14;0;0
17350;5;8;0;0
17450;8;15;0;0
17550;7;49;0;0
17650;6;11;0;0
17750;8;6;0;0
17850;10;1;0;0
17950;7;35;0;0
18050;4;7;0;0
18150;5;4;0;0
18250;4;9;0;0
18350;6;7;0;0
18450;9;8;0;0
18550;9;3;0;0
18650;6;6;0;0
18750;8;6;0;0
18850;10;7;0;0
18950;10;5;0;0
19050;5;3;0;0
19150;5;5;0;0
19250;6;9;0;0
19350;10;4;0;0
19450;11;6;0;0
19550;8;7;0;0
19650;3;9;0;0
19750;5;5;0;0
19850;7;2;0;0
19950;6;6;0;0
20050;6;13;0;0
20150;6;7;0;0
20250;10;10;0;0
20350;8;6;0;0
20450;6;4;0;0
20550;10;9;0;0
20650;4;5;0;0
20750;9;3;0;0
20850;8;8;0;0
20950;4;5;0;0
21050;8;10;0;0
21150;5;14;0;0
21250;4;9;0;0
21350;12;8;0;0
21450;4;4;0;0
21550;7;24;0;0
21650;3;26;0;0
21750;7;8;0;0
21850;4;7;0;0
21950;10;22;0;0
22050;6;12;0;0
22150;13;8;0;0
22250;5;7;0;0
22350;6;12;0;0
22450;3;9;0;0
22550;7;6;0;0
22650;9;5;0;0
22750;7;7;0;0
22850;11;5;0;0
22950;5;6;0;0
23050;16;4;0;0
23150;5;10;0;0
23250;9;6;0;0
23350;9;8;0;0
23450;8;8;0;0
23550;6;4;0;0
23650;10;3;0;0
23750;17;3;0;0
23850;14;5;0;0
23950;5;8;0;0
24050;4;8;0;0
24150;5;9;0;0
24250;8;3;0;0
24350;8;5;0;0
24450;10;6;0;0
24550;3;15;0;0
24650;4;13;0;0
24750;16;7;0;0
24850;9;4;0;0
24950;9;6;0;0
25050;14;7;0;0
25150;7;7;0;0
25250;5;8;0;0
25350;5;6;0;0
25450;7;7;0;0
25550;15;7;0;0
25650;5;4;0;0
25750;11;7;0;0
25850;5;11;0;0
25950;8;5;0;0
26050;7;8;0;0
26150;11;4;0;0
26250;5;8;0;0
26350;7;9;0;0
26450;3;10;0;0
26550;11;6;0;0
26650;13;14;0;0
26750;3;17;0;0
26850;14;7;0;0
26950;9;6;0;0
27050;6;13;0;0
27150;10;10;0;0
27250;8;8;0;0
27350;6;10;0;0
27450;8;6;0;0
27550;9;6;0;0
27650;12;4;0;0
27750;19;10;0;0
27850;14;7;0;0
27950;12;6;0;0
28050;13;5;0;0
28150;14;3;0;0
28250;8;9;0;0
28350;11;5;0;0
28450;18;2;0;0
28550;21;8;0;0
28650;10;10;0;0
28750;5;8;0;0
28850;8;5;0;0
28950;20;5;0;0
29050;5;7;0;0
29150;8;10;0;0
29250;8;3;0;0
29350;6;8;0;0
29450;8;6;0;0
29550;6;3;0;0
29650;6;5;0;0
29750;8;5;0;0
29850;9;9;0;0
29950;6;7;0;0
30050;5;8;0;0
30150;9;9;0;0
30250;7;8;0;0
30350;9;9;0;0
30450;8;7;0;0
30550;8;13;0;0
30650;7;4;0;0
30750;5;7;0;0
30850;7;8;0;0
30950;7;2;0;0
31050;5;10;0;0
31150;7;10;0;0
31250;7;9;0;0
31350;6;4;0;0
31450;3;11;0;0
31550;6;5;0;0
31650;8;9;0;0
31750;16;7;0;0
31850;8;3;0;0
31950;7;10;0;0
32050;12;7;0;0
32150;37;1;0;0
32250;5;9;0;0
32350;6;8;0;0
32450;15;5;0;0
32550;45;6;0;0
32650;9;4;0;0
32750;6;4;0;0
32850;4;10;0;0
32950;19;7;0;0
33050;7;5;0;0
33150;11;4;0;0
33250;8;7;0;0
33350;11;1;0;0
33450;4;7;0;0
33550;19;4;0;0
33650;5;11;0;0
33750;6;5;0;0
33850;8;14;0;0
33950;13;8;0;0
34050;7;15;0;0
34150;2;11;0;0
34250;9;11;0;0
34350;10;17;0;0
34450;3;17;0;0
34550;10;20;0;0
34650;10;18;0;0
34750;9;18;0;0
34850;11;18;0;0
34950;5;26;0;0
35050;6;29;0;0
35150;9;17;0;0
35250;10;17;0;0
35350;5;8;0;0
35450;9;17;0;0
35550;10;8;0;0
35650;7;14;0;0
35750;5;15;0;0
35850;10;7;0;0
35950;12;10;0;0
36050;6;5;0;0
36150;3;3;0;0
36250;8;7;0;0
36350;6;10;0;0
36450;7;6;0;0
36550;9;8;0;0
36650;6;3;0;0
36750;6;6;0;0
36850;4;5;0;0
36950;7;7;0;0
37050;5;5;0;0
37150;8;3;0;0
37250;10;7;0;0
37350;5;7;0;0
37450;8;6;0;0
37550;6;6;0;0
37650;2;9;0;0
37750;5;11;0;0
37850;9;2;0;0
37950;8;9;0;0
38050;8;8;0;0
38150;6;14;0;0
38250;1;5;0;0
38350;5;4;0;0
38450;7;10;0;0
38550;6;5;0;0
38650;6;8;0;0
38750;6;2;0;0
38850;1;10;0;0
38950;6;7;0;0
39050;7;13;0;0
39150;4;8;0;0
39250;5;7;0;0
39350;9;9;0;0
39450;3;14;0;0
39550;6;7;0;0
39650;6;8;0;0
39750;5;12;0;0
39850;3;17;0;0
39950;8;7;0;0
40050;8;8;0;0
40150;7;11;0;0
40250;9;20;0;0
40350;4;8;0;0
40450;5;5;0;0
40550;6;7;0;0
40650;11;7;0;0
40750;9;9;0;0
40850;7;8;0;0
40950;5;2;0;0
41050;7;9;0;0
41150;9;7;0;0
41250;6;5;0;0
41350;10;7;0;0
41450;7;6;0;0
41550;6;9;0;0
41650;4;6;0;0
41750;10;10;0;0
41850;11;10;0;0
41950;6;21;0;0
42050;9;19;0;0
42150;12;40;0;0
42250;5;32;0;0
42350;6;27;0;0
42450;6;31;0;0
42550;8;48;0;0
42650;1;47;0;0
42750;12;24;0;0
42850;9;29;0;0
42950;7;47;0;0
43050;6;47;0;0
43150;4;34;0;0
43250;6;22;0;0
43350;4;32;0;0
43450;2;42;0;0
43550;203;14;0;0
43650;185;14;0;0
43750;7;16;0;0
43850;13;34;0;0
43950;853;17;0;0
44050;632;6;0;0
44150;6;7;0;0
44250;19;22;0;0
44350;1029;11;0;0
44450;879;8;0;0
44550;14;6;0;0
44650;15;20;0;0
44750;803;6;0;0
44850;635;14;0;0
44950;3;6;0;0
45050;7;6;0;0
45150;227;8;0;0
45250;157;16;0;0
45350;16;15;0;0
45450;11;6;0;0
45550;7;4;0;0
45650;5;12;0;0
45750;13;5;0;0
45850;7;5;0;0
45950;5;6;0;0
46050;6;11;0;0
46150;5;6;0;0
46250;12;6;0;0
46350;12;9;0;0
46450;8;5;0;0
46550;9;8;0;0
46650;13;9;0;0
46750;5;9;0;0
46850;5;2;0;0
46950;7;7;0;0
47050;5;11;0;0
47150;7;9;0;0
47250;8;5;0;0
47350;7;7;0;0
47450;5;7;0;0
47550;2;9;0;0
47650;5;6;0;0
47750;1;9;0;0
47850;7;7;0;0
47950;6;5;0;0
48050;10;4;0;0
48150;2;9;0;0
48250;8;7;0;0
48350;8;7;0;0
48450;8;7;0;0
48550;5;10;0;0
48650;8;11;0;0
48750;5;14;0;0
48850;6;9;0;0
48950;5;2;0;0
49050;8;4;0;0
49150;12;6;0;0
49250;7;9;0;0
49350;7;7;0;0
49450;5;5;0;0
49550;6;7;0;0
49650;7;4;0;0
49750;4;8;0;0
49850;2;6;0;0
49950;8;8;0;0
50050;2;5;0;0
50150;5;10;0;0
50250;4;11;0;0
50350;8;8;0;0
50450;5;9;0;0
50550;7;4;0;0
50650;7;4;0;0
50750;5;8;0;0
50850;10;6;0;0
50950;5;8;0;0
51050;7;6;0;0
51150;6;3;0;0
51250;11;5;0;0
51350;7;6;0;0
51450;2;7;0;0
51550;3;1;0;0
51650;8;6;0;0
51750;5;10;0;0
51850;8;6;0;0
51950;10;11;0;0
52050;4;6;0;0
52150;4;8;0;0
52250;6;7;0;0
52350;3;3;0;0
52450;7;3;0;0
52550;6;3;0;0
52650;6;8;0;0
52750;5;4;0;0
52850;12;6;0;0
52950;9;5;0;0
53050;5;10;0;0
53150;2;7;0;0
53250;5;9;0;0
53350;3;3;0;0
53450;12;10;0;0
53550;11;6;0;0
53650;7;11;0;0
53750;10;6;0;0
53850;12;8;0;0
53950;8;4;0;0
54050;9;9;0;0
54150;6;1;0;0
54250;9;5;0;0
54350;3;5;0;0
54450;13;11;0;0
54550;4;5;0;0
54650;3;5;0;0
54750;9;11;0;0
54850;17;155;0;0
54950;10;244;0;0
55050;5;6;0;0
55150;4;11;0;0
55250;9;615;0;0
55350;6;837;0;0
55450;2;16;0;0
55550;3;12;0;0
55650;5;818;0;0
55750;6;1069;0;0
55850;26;13;0;0
55950;8;13;0;0
56050;8;719;0;0
56150;15;818;0;0
56250;33;10;0;0
56350;12;4;0;0
56450;6;156;0;0
56550;18;180;0;0
56650;47;8;0;0
56750;26;4;0;0
56850;17;10;0;0
56950;32;4;0;0
57050;51;10;0;0
57150;50;4;0;0
57250;31;7;0;0
57350;29;10;0;0
57450;39;2;0;0
57550;50;4;0;0
57650;23;11;0;0
57750;28;7;0;0
57850;23;9;0;0
57950;40;5;0;0
58050;15;12;0;0
58150;15;5;0;0
58250;8;8;0;0
58350;12;4;0;0
58450;7;4;0;0
58550;10;6;0;0
58650;6;8;0;0
58750;5;7;0;0
58850;7;6;0;0
58950;11;3;0;0
59050;2;3;0;0
59150;2;7;0;0
59250;10;8;0;0
59350;5;5;0;0
59450;6;13;0;0
59550;9;6;0;0
59650;9;5;0;0
59750;2;6;0;0
